text,category
"A kind soul mailed reply bugs CView. Since isn't position post himself, asked post him, leave name out. So comes: CView quite number bugs. The one mention perhaps annoying, dangerous. As far I determine, temp files CView creates. CView gives user control places temp files: places ""current directory"". The problem mention occurs (as far I tell) runs disk space temp files. It seems CView doesn't check properly situation. As Cview decodes jpeg, seems write temp file pixel data 24 bit colour information. Then, 8 bit displays, ""dithering"", writing another file 8 bit colour information. While writing second file, also writes data colour card. Then last chunk 8 bit data, recopies data 8 bit file screen again. (It last ""recopy"" operation ""fit screen"" feature, even feature enabled.) The result process following: 1) If runs disk space writing first 24 bit file, ever see much data room for, last bit data simply repeated CView never realizes disk filled disk writes/reads aren't performed. 2) If enough room 24 bit data, runs room 8 bit data, see almost picture dithering writes screen card. However, finishes dithering recopies data 8 bit file screen (for whatever reason this) one gets repetition last chunk data room disk. This guess, probably fairly accurate. At least general idea track I think, although I probably made errors details file I/O etc. The way around course clear sufficient disk space. The temp files large JPEG's (1200x900 bigger) large (3 Meg + 1 Meg ). On largest I needed excess 6 Meg free disk space. CView much serious bug: trying display file floppy, change floppies CView temp file open floppy, CView certain circumstances write directory (and FAT table? I can't remember) removed floppy onto newly inserted floppy, thus corruptimg new floppy serious, possibly unrevcoverable way. SO BE CAREFUL! It incredibly poor programming program this. On hand, choosing files Open Files menu, CView insists disk reads every time one moves hi-lighter square. Incredibly annoying could gets directory info. And really, much effort take sort directory listing?",0
"You lot problems keeping hardware interrupts Windows DOS - regardless communication software using. Try following: 1) Turn disk write cache disk downloading to. The cache save much grabs control machine takes long write disk loose characters. 2) Use different UART serial line. The old UART's (8250 16450) buffer one character internally. The new UART's (16550) buffer 16, plenty situations. You run \windows\msd.exe find UART machine.",1
": I'm searching phonetic TrueType font Windows 3.1. If : anybody knows one, please mail me! : : Thanks. : : dw : : : ################################################################## : Dipl.-Inform. Dietmar Weidlich # IfADo, Ardeystr. 67 # : weidlich@arb-phys.uni-dortmund.de # D-4600 Dortmund 50 # : Phone ++49 231 1084-250 # >> Dr. B.: ""Koennten Sie das # : Fax ++49 231 1084-401 # MAL EBEN erledigen?"" << # Yes, I'm looking phonetic font(s) too! So know one, please mail too!",1
"Does anyone know phone fax number Asymetrix Corporation. I also interested e-mail address. I would also like know current status product Toolbook is. I received last update 1.5 1.5 year ago. Are new developments Toolbook slowly dying? Regards, Rob de Winter.",1
"I've recently uploaded cica current (v2.8) version working model MicroCal Origin, scientific technical 2D/3D graphics data analysis package Windows 3.x. The working model 2D puts promo message hardcopies, largely identical full version. Saving Origin files disabled, save ASCII data sets produced Origin. It also says expiration date Sept. 1, 1993. Try it. You may like it, I do! It's currently /pub/pc/win3/uploads ORIGIN.ZIP.",1
"This algorithm works well me: Algorithm attempt find outward-facing normals: --------------------------------------------------- First, mark faces UNKNOWN. Then create edge dictionary allows find faces sharing given edge (where edge two integers representing two shared vertices). Pick arbitrary face mark COUNTER_CLOCKWISE. Using edge dictionary, orient surrounding faces based orientation face. And recurse surrounding faces, consistently orienting entire surface. Find average vertices surface. Using point, calculate volume measurement, taking account face's orientation. If volume turns positive, assume faces oriented correctly. If negative, reverse orientations (mark CLOCKWISE). If faces still UNKNOWN this, choose another face go algorithm again. At end, faces marked CLOCKWISE must indices reversed facet normals found. (Note: running Silicon Graphics machines buy IRIS Inventor 3D toolkit developers package source algorithm-- see /usr/src/Inventor/tools/ivnorm/. If you're not... sorry, I can't give source, even I could relies heavily Inventor).",0
The file contents listings for: Knowledge Media Resource Library: Graphics 1 Knowledge Media Resource Library: Audio 1,0
"Hey Larry, How comp sci major never crash damn computer. What CS dept teach you...or good programmer one assembly programs ever downed machine. Why bother putting stupid posts...or ignorant.",1
Can somebody point I find specs .GL .FLI files found PC's?,0
"Sporadically, yes. It seems flicker, change shape snow briefly. Not enough impair functionality, call attention Diamond's professional sloppiness. Rob",1
